Date	Sunshine duration [h/day]	Outdoor temperature [°C]	Solar yield [kWh/day]	Solar pump [h/day]	Valve [h/day]	Gas consumption [kWh/day]
2019-10-20	2.0	13.4	4.0	1.6	22.4	235.5
2019-10-27	3.3	13.1	4.0	1.6	22.4	235.5
2019-11-03	3.7	7.7	2.7	1.3	18.1	322.6
2019-11-10	2.1	6.8	4.3	0.6	18.0	400.6
2019-11-17	0.7	4.2	4.3	0.6	18.0	400.6
2019-11-24	2.7	4.4	2.4	0.4	18.9	456.4
2019-12-01	0.9	6.0	2.4	0.4	18.9	456.4
2019-12-08	1.8	4.7	0.7	0.1	18.1	475.5
2019-12-15	1.5	4.6	0.7	0.1	18.1	475.5
2019-12-22	2.2	9.5	3.4	0.4	0.6	400.6
2019-12-29	1.0	4.8	3.4	0.4	0.6	400.6
2020-01-05	1.9	4.5	2.6	0.3	0.3	448.3
2020-01-12	0.7	6.6	3.8	0.4	0.3	415.4
2020-01-19	1.8	6.9	3.8	0.4	0.3	415.4
2020-01-26	1.9	1.4	8.6	1.0	0.1	491.1
2020-02-02	0.5	7.5	7.3	0.6	0.9	403.1
2020-02-09	2.6	5.9	7.3	0.6	0.9	403.1
2020-02-16	1.5	6.8	8.2	0.8	1.1	400.9
2020-02-23	1.6	6.8	8.2	0.8	1.1	400.9
2020-03-01	1.9	4.9	12.5	1.0	0.8	436.8
2020-03-08	3.0	5.6	12.5	1.0	0.8	436.8
2020-03-15	3.3	8.3	55.6	3.9	5.1	314.7
2020-03-22	8.2	8.5	55.6	3.9	5.1	329.4
2020-03-29	10.0	5.8	85.4	6.0	6.1	318.2
2020-04-05	7.9	6.6	101.6	5.6	9.4	266.9
2020-04-12	11.6	15.7	101.6	5.6	9.4	253.3
2020-04-19	8.1	11.3	102.7	5.6	13.9	171.4
2020-04-26	12.6	13.3	102.7	5.6	13.9	171.4
2020-05-03	5.1	11.6	91.8	5.3	11.4	181.3
2020-05-10	9.5	13.5	91.8	5.3	11.4	181.3
2020-05-17	8.7	9.1	79.5	5.0	14.1	162.9
2020-05-24	6.3	16.4	79.5	5.0	14.1	162.9
2020-05-31	12.7	15.8	97.1	5.1	18.7	113.7
2020-06-07	7.7	15.3	97.1	5.1	18.7	113.7
2020-06-14	3.8	16.9	79.8	4.9	19.0	113.7
2020-06-21	6.3	18.5	102.3	7.0	22.3	78.0
2020-06-28	10.8	21.5	113.3	6.1	16.1	70.4
2020-07-05	3.1	17.1	59.6	4.1	23.0	93.3
2020-07-12	5.0	15.4	81.7	4.8	23.4	89.5
2020-07-19	6.5	18.1	81.7	4.8	23.4	89.5
2020-07-26	7.4	18.0	103.6	5.6	19.3	71.9
2020-08-02	8.2	20.9	103.6	5.6	19.3	71.9
2020-08-09	11.5	23.6	95.3	5.1	10.6	65.8
2020-08-16	7.3	24.4	95.3	5.1	10.6	65.8
2020-08-23	5.6	21.0	68.3	4.4	16.6	77.3
2020-08-30	2.9	16.4	68.3	4.4	16.6	77.3
2020-09-06	3.6	15.3	64.1	4.2	23.5	91.0
2020-09-13	8.1	16.3	64.1	4.2	23.5	91.0
2020-09-20	10.5	19.3	66.6	4.3	20.9	87.2
2020-09-27	6.3	14.7	66.6	4.3	20.9	87.2
2020-10-04	0.9	12.6	15.8	1.1	7.6	242.5
2020-10-11	1.7	10.9	15.8	1.1	7.6	242.5
2020-10-18	1.2	8.5	8.5	0.7	4.4	287.6
2020-10-25	0.6	13.1	8.5	0.7	4.4	287.6
2020-11-01	1.8	11.8	19.6	1.9	5.7	293.8
2020-11-08	6.3	10.2	19.6	1.9	5.7	293.8
2020-11-15	3.8	11.9	7.0	0.8	2.5	392.0
2020-11-22	1.4	8.4	7.0	0.8	2.5	392.0
2020-11-29	5.5	4.9	7.0	0.8	2.5	392.0
2020-12-06	1.1	3.5	7.0	0.8	2.5	392.0
2020-12-13	1.0	3.2	7.0	0.8	2.5	392.0
2020-12-20	2.9	8.6	7.0	0.8	2.5	392.0
2020-12-27	0.6	6.3	1.5	0.2	1.1	429.6
2021-01-03	0.7	3.7	0.4	0.1	0.5	428.8
2021-01-10	0.0	0.9	0.0	0.0	0.0	421.0
2021-01-17	0.3	1.2	0.1	0.0	0.0	493.2
2021-01-24	1.2	4.7	0.0	0.0	0.0	426.7
2021-01-31	1.9	2.4	0.1	0.0	0.0	537.9
2021-02-07	0.7	4.3	10.6	1.1	0.7	533.7
2021-02-14	5.9	-6.0	15.7	1.7	1.0	762.5
2021-02-21	4.0	8.3	29.9	2.7	1.6	489.9
2021-02-28	5.6	10.7	40.4	3.3	1.9	399.0
2021-03-07	7.6	5.1	47.8	4.0	2.2	412.3
2021-03-14	0.7	5.4	20.3	1.6	0.9	458.5
2021-03-21	3.4	4.2	25.8	2.0	0.3	444.1
2021-03-28	4.8	8.1	50.2	3.4	3.1	366.3
